question,answer,language
Hi,Hi there,en
Hello,"Hello, how can I assist you?",en
Hi,Hi there,en
Hello,"Hello, how can I assist you?",en
Hi,Hi there,en
Hello,"Hello, how can I assist you?",en
Hi,Hi there,en
Hello,"Hello, how can I assist you?",en
Hi,Hi there,en
Hello,"Hello, how can I assist you?",en
Go to google,Sorry I don't understand the question,en
Go to google,Sorry I don't understand the question,en
Bonjour,Bonjour,fr
Comment allez-vous,"Bien merci, comment puis-je vous aider",fr
Bonjour,Bonjour,fr
Comment allez-vous,"Bien merci, comment puis-je vous aider",fr
Bonjour,Bonjour,fr
Comment allez-vous,"Bien merci, comment puis-je vous aider",fr
Bonjour,Bonjour,fr
Quelles sont les dernieres nouvelles,Je ne comprends pas la question,fr
Quelles sont les dernieres nouvelles,Je ne comprends pas la question,fr
Quelles sont les dernieres nouvelles,Je ne comprends pas la question,fr
Amakuru,Ni meza,rw
Amahoro,"Amahoro, mumeze gute?",rw
Amakuru,Ni meza,rw
Amahoro,"Amahoro, mumeze gute?",rw
Amakuru,Ni meza,rw
Amahoro,"Amahoro, mumeze gute?",rw
Amakuru,Ni meza,rw
Amahoro,"Amahoro, mumeze gute?",rw
Amakuru,Ni meza,rw
Google ni iki?,Ntabwo numvishe ikibazo,rw
Bara guhera kuri 1 kugeza 10,Ntabwo numvishe ikibazo,rw
Google ni iki?,Ntabwo numvishe ikibazo,rw
Bara guhera kuri 1 kugeza 11,Ntabwo numvishe ikibazo,rw
Google ni iki?,Ntabwo numvishe ikibazo,rw
Bara guhera kuri 1 kugeza 12,Ntabwo numvishe ikibazo,rw
Bara guhera kuri 1 kugeza 12,Ntabwo numvishe ikibazo,
hello,Hey :-),en
how are you?,"Hi there, how can I help?",en
hello,"Hello, thanks for visiting",en
amakuru,Mbabajwe nuko ntumva ikibazo!,rw
how are you,Hey :-),en
hello,"Hi there, how can I help?",en
amakuru,Mbabajwe nuko ntumva ikibazo!,rw
hello,Hey :-),en
how are you?,"Hi there, how can I help?",en
hello,"Hello, thanks for visiting",en
amakuru,Mbabajwe nuko ntumva ikibazo!,rw
how are you,Hey :-),en
hello,"Hi there, how can I help?",en
amakuru,Mbabajwe nuko ntumva ikibazo!,rw
nonnnnn,"Jeg beklager, jeg forstår ikke spørgsmålet!",da
hello,hello! how are you doing?,en
Guide me to college writing essay?,You can use this link http://rura.rw/?college-writing-essay for more information,en
Guidez-moi vers un essai d'Ã©criture universitaire?,Vous pouvez utiliser ce lien http://rura.rw/?college-writing-essay pour plus d'informations,fr
hello,"hi, pleasure to be of service",en
hello,"Hello am maguire, How can I help you?",en
Guide me to college writing essay?,You can use this link http://rura.rw/?college-writing-essay for more information,en
thank you,feel free to come again anytime please!,en
hello,"hi, how can I help you?",en
Guide me to college writing essay?,You can use this link http://rura.rw/?college-writing-essay for more information,en
Hello,"hi, pleasure to be of service",en
Hello,hello! how are you doing?,en
Nyobora kuri francising master thesis?,Mbabajwe nuko ntumva ikibazo!,rw
amakuru,Mbabajwe nuko ntumva ikibazo!,rw
hello,hello! how are you doing?,en
Hi,"hi, pleasure to be of service",en
What is rural?,I am sorry I do not understand the question! ðŸ¥º,en
Rura,"Przepraszam, nie rozumiem pytania!",pl
hi,"hi, pleasure to be of service",en
Hello,"Hello am maguire, How can I help you?",en
what are the days of working?,I am sorry I do not understand the question! ðŸ¥º,en
mbwira ibyerekeye RURA,Urashobora gukoresha iyi link https://rura.rw/index.php?id=25 kubindi bisobanuro,rw
Guidez-moi comment faire paraÃ®tre mon essai plus longÂ ?,Vous pouvez utiliser ce lien http://rura.rw/?how-do-i-make-my-essay-look-longer pour plus d'informations,fr
Tell me about RURA,You can use this link https://rura.rw/index.php?id=25 for more information,en
donne moi les infos sur RURA,Vous pouvez utiliser ce lien https://rura.rw/index.php?id=29 pour plus d'informations,fr
Umuyobozi wa RURA yitwa nde?,Mbabajwe nuko ntumva ikibazo!,rw
What's going on?,You can use this link https://rura.rw/index.php?id=29 for more information,en
Where are from?,I am sorry I do not understand the question! ðŸ¥º,en
Guide me to Read more?,You can use this link https://rura.rw/index.php?id=104,en
Guide me to Energy Sector,You can use this link https://rura.rw/index.php?id=104,en
When RURA is created?,I am sorry I do not understand the question! ðŸ¥º,en
Guide me to Online Services?,You can use this link https://rura.rw/index.php?id=269 for more information,en
online services?,You can use this link https://rura.rw/index.php?id=269 for more information,en
ÐÐ°Ð¿Ñ€Ð°Ð²Ð¸Ñ‚ÑŒ Ð¼ÐµÐ½Ñ Ðº Ð¾Ð½Ð»Ð°Ð¹Ð½-ÑÐµÑ€Ð²Ð¸ÑÐ°Ð¼?,Ð’Ñ‹ Ð¼Ð¾Ð¶ÐµÑ‚Ðµ Ð¸ÑÐ¿Ð¾Ð»ÑŒÐ·Ð¾Ð²Ð°Ñ‚ÑŒ ÑÑ‚Ñƒ ÑÑÑ‹Ð»ÐºÑƒ https://rura.rw/index.php?id=269 Ð´Ð»Ñ Ð¿Ð¾Ð»ÑƒÑ‡ÐµÐ½Ð¸Ñ Ð´Ð¾Ð¿Ð¾Ð»Ð½Ð¸Ñ‚ÐµÐ»ÑŒÐ½Ð¾Ð¹ Ð¸Ð½Ñ„Ð¾Ñ€Ð¼Ð°Ñ†Ð¸Ð¸,ru
Driver Vocational Card (DVC) ã«ã¤ã„ã¦æ•™ãˆã¦ãã ã•ã„ã€‚,è©³ç´°ã«ã¤ã„ã¦ã¯ã€ã“ã®ãƒªãƒ³ã‚¯ https://dvc.rura.rw/ ã‚’ä½¿ç”¨ã§ãã¾ã™ã€‚,ja
hello,hello! how are you doing?,en
good,feel free to come again anytime please!,en
Guide me to Driver Vocational Card (DVC)?,You can use this link https://dvc.rura.rw/ for more information,en
i need information about rura,You can use this link https://rura.rw/index.php?id=25 for more information,en
Unyobore ku ikarita yimyuga yumushoferi (DVC)?,Urashobora gukoresha iyi link https://dvc.rura.rw/ kubindi bisobanuro,rw
amakuru,Mbabajwe nuko ntumva ikibazo!,rw
muraho bene data,"Mi bedaÅ­ras, ke mi ne komprenas la demandon!",eo
comment ca va,I am sorry I do not understand the question! ðŸ¥º,en
muraho benedata,"muraho, kwishimira kuba serivisi",rw
Hello,"Hello am maguire, How can I help you?",en
Nielekeze kwa Kadi ya Ufundi ya Udereva (DVC)?,Unaweza kutumia kiungo hiki https://dvc.rura.rw/ kwa maelezo zaidi,sw
I need to know about rura,You can use this link https://rura.rw/index.php?id=25 for more information,en
serivisi ni iki,Urashobora gukoresha iyi link https://rura.rw/index.php?id=251 kubindi bisobanuro,rw
Est ce que tu connais le francais,Je suis dÃ©solÃ© je ne comprends pas la question !,fr
I need to book,You can use this link https://rura.rw/index.php?id=38 for more information,en
Djdjdjdndndndndnd,I am sorry I do not understand the question! ðŸ¥º,en
mwaramutse,muraho!,rw
ok nahubutaha,I am sorry I do not understand the question! ðŸ¥º,en
Bite,I am sorry I do not understand the question! ðŸ¥º,en
Guide me to Consumer Complaint?,You can use this link https://licensing.rura.rw/customer/complaint/form for more information,en
amakuru?,Urashobora gukoresha iyi link https://rura.rw/index.php?id=38 kubindi bisobanuro,rw
haleluyah,E kala mai Ê»aÊ»ole maopopo iaÊ»u ka nÄ«nau!,haw
Hii,"Jeg beklager, jeg forstÃ¥r ikke spÃ¸rsmÃ¥let!",no
oya urabeshya,Mbabajwe nuko ntumva ikibazo!,rw
muramuke nahutaha,Urashobora gukoresha iyi link https://rura.rw/index.php?id=179 kubindi bisobanuro,rw
Helloo,Tere!,et
Ngiqondise esikhalazweni sabathengi?,Ungasebenzisa lesi sixhumanisi https://licensing.rura.rw/customer/complaint/form ukuze uthole ulwazi olwengeziwe,zu
Maguire,TÃ¡ brÃ³n orm nach dtuigim an cheist!,ga
uko muzuri?,Mbabajwe nuko ntumva ikibazo!,rw
wibabara mn,I am sorry I do not understand the question! ðŸ¥º,en
Rura,"Przepraszam, nie rozumiem pytania!",pl
i need information about transportation,You can use this link https://rura.rw/index.php?id=179 for more information,en
Duc me ad Complaint Consumer?,You can use this link https://licensing.rura.rw/customer/complaint/form for more information,en
nyereka website,I am sorry I do not understand the question! ðŸ¥º,en
ì†Œë¹„ìž ë¶ˆë§Œìœ¼ë¡œ ì•ˆë‚´í•´ ì£¼ì‹œê² ìŠµë‹ˆê¹Œ?,ìžì„¸í•œ ë‚´ìš©ì€ https://licensing.rura.rw/customer/complaint/form ë§í¬ë¥¼ ì‚¬ìš©í•˜ì‹­ì‹œì˜¤.,ko
nihe naca ngo nishyure umisoro?,Mbabajwe nuko ntumva ikibazo!,rw
rura ni iki ?,Mbabajwe nuko ntumva ikibazo!,rw
Hello Ingenzi,"muraho, nigufasha nte?",rw
Hello,"Hello, how can I assist you?",en
Hi,Hi there,en
Hello,"Hello, how can I assist you?",en
Hi,Hi there,en
Hello,"Hello, how can I assist you?",en
Go to google,Sorry I don't understand the question,en
Go to google,Sorry I don't understand the question,en
Bonjour,Bonjour,fr
Comment allez-vous,"Bien merci, comment puis-je vous aider",fr
Bonjour,Bonjour,fr
Comment allez-vous,"Bien merci, comment puis-je vous aider",fr
Bonjour,Bonjour,fr
Comment allez-vous,"Bien merci, comment puis-je vous aider",fr
Bonjour,Bonjour,fr
Quelles sont les dernieres nouvelles,Je ne comprends pas la question,fr
Quelles sont les dernieres nouvelles,Je ne comprends pas la question,fr
Quelles sont les dernieres nouvelles,Je ne comprends pas la question,fr
Amakuru,Ni meza,rw
Amahoro,"Amahoro, mumeze gute?",rw
Amakuru,Ni meza,rw
Amahoro,"Amahoro, mumeze gute?",rw
Amakuru,Ni meza,rw
Amahoro,"Amahoro, mumeze gute?",rw
Amakuru,Ni meza,rw
Amahoro,"Amahoro, mumeze gute?",rw
Amakuru,Ni meza,rw
Google ni iki?,Ntabwo numvishe ikibazo,rw
Bonjour,Bonjour,fr
Quelles sont les dernieres nouvelles,Je ne comprends pas la question,fr
Quelles sont les dernieres nouvelles,Je ne comprends pas la question,fr
Quelles sont les dernieres nouvelles,Je ne comprends pas la question,fr
Amakuru,Ni meza,rw
Amahoro,"Amahoro, mumeze gute?",rw
Amakuru,Ni meza,rw
Amahoro,"Amahoro, mumeze gute?",rw
Amakuru,Ni meza,rw
Amahoro,"Amahoro, mumeze gute?",rw
Amakuru,Ni meza,rw
Amahoro,"Amahoro, mumeze gute?",rw
Amakuru,Ni meza,rw
Google ni iki?,Ntabwo numvishe ikibazo,rw
Bara guhera kuri 1 kugeza 10,Ntabwo numvishe ikibazo,rw
Google ni iki?,Ntabwo numvishe ikibazo,rw
Bara guhera kuri 1 kugeza 11,Ntabwo numvishe ikibazo,rw
Google ni iki?,Ntabwo numvishe ikibazo,rw
Bara guhera kuri 1 kugeza 12,Ntabwo numvishe ikibazo,rw
